Year;Sex;Age group;Score
2001;Total;15–34;72
2001;Total;35–54;73
2001;Total;55 and over;75
2001;Total;Total;73
2002;Total;15–34;73
2002;Total;35–54;73
2002;Total;55 and over;75
2002;Total;Total;73
2003;Total;15–34;73
2003;Total;35–54;73
2003;Total;55 and over;75
2003;Total;Total;74
2004;Total;15–34;72
2004;Total;35–54;73
2004;Total;55 and over;75
2004;Total;Total;73
2005;Total;15–34;72
2005;Total;35–54;73
2005;Total;55 and over;75
2005;Total;Total;73
2006;Total;15–34;73
2006;Total;35–54;73
2006;Total;55 and over;75
2006;Total;Total;74
2007;Total;15–34;73
2007;Total;35–54;73
2007;Total;55 and over;75
2007;Total;Total;74
2008;Total;15–34;73
2008;Total;35–54;73
2008;Total;55 and over;76
2008;Total;Total;74
2009;Total;15–34;73
2009;Total;35–54;74
2009;Total;55 and over;76
2009;Total;Total;74
2010;Total;15–34;73
2010;Total;35–54;73
2010;Total;55 and over;75
2010;Total;Total;74
2011;Total;15–34;73
2011;Total;35–54;73
2011;Total;55 and over;76
2011;Total;Total;74
2012;Total;15–34;73
2012;Total;35–54;73
2012;Total;55 and over;76
2012;Total;Total;74
2013;Total;15–34;72
2013;Total;35–54;73
2013;Total;55 and over;76
2013;Total;Total;74
2014;Total;15–34;72
2014;Total;35–54;72
2014;Total;55 and over;76
2014;Total;Total;73
2015;Total;15–34;72
2015;Total;35–54;73
2015;Total;55 and over;75
2015;Total;Total;73
2016;Total;15–34;71
2016;Total;35–54;73
2016;Total;55 and over;75
2016;Total;Total;73
2017;Total;15–34;70
2017;Total;35–54;72
2017;Total;55 and over;75
2017;Total;Total;73
2018;Total;15–34;69
2018;Total;35–54;72
2018;Total;55 and over;75
2018;Total;Total;72
2019;Total;15–34;69
2019;Total;35–54;72
2019;Total;55 and over;75
2019;Total;Total;72
2020;Total;15–34;66
2020;Total;35–54;71
2020;Total;55 and over;75
2020;Total;Total;71
2021;Total;15–34;65
2021;Total;35–54;70
2021;Total;55 and over;74
2021;Total;Total;70
